city,date,fare,ride_id
West Alexis,8/29/2016 18:17,6.16,2.09062E+11
Alyssaberg,5/28/2016 9:20,35.61,7.4747E+12
Lake Jennaton,6/5/2016 12:00,25.56,9.57641E+12
West Brandy,4/12/2016 0:51,34.59,9.59706E+12
Port Samantha,4/4/2016 10:57,33.91,7.42863E+12
New Aaron,10/30/2016 22:19,8.44,1.13074E+12
Sarabury,4/2/2016 4:32,38.03,4.9325E+12
West Oscar,10/5/2016 22:23,32.64,7.91698E+12
Edwardsbury,1/28/2016 23:28,26.61,6.09785E+12
Arnoldview,3/24/2016 5:50,38.73,9.90935E+12
Swansonbury,1/4/2016 20:54,17.1,7.44936E+12
Port Johnstad,11/19/2016 2:08,34.47,3.2185E+12
South Louis,6/19/2016 5:30,35.29,3.19786E+11
Lisaville,1/6/2016 3:50,19.6,2.39488E+11
New Maryport,2/10/2016 5:36,23.41,3.97475E+11
West Dawnfurt,7/24/2016 15:18,30.8,3.83933E+12
Davidtown,10/12/2016 17:56,24.65,9.38298E+12
West Peter,8/16/2016 23:26,7.25,1.0409E+12
Spencertown,1/16/2016 18:28,35.59,7.00293E+12
Rodriguezburgh,11/21/2016 10:41,26.13,6.51355E+12
Russellport,9/8/2016 17:46,13.81,1.03434E+12
Rodriguezburgh,5/22/2016 21:34,8.83,5.13532E+12
West Brandy,8/19/2016 3:53,17.72,1.90421E+12
South Roy,11/20/2016 2:09,6.81,6.51261E+12
Russellport,2/2/2016 20:46,18.96,7.23498E+12
Zimmermanmouth,8/11/2016 11:17,5.97,7.27604E+12
Sarabury,6/23/2016 5:03,26.82,6.71104E+12
East Douglas,10/1/2016 19:07,16.36,8.45034E+12
Kellershire,11/2/2016 16:34,15.29,7.13697E+12
Davistown,2/29/2016 22:39,15.58,2.60513E+12
Davistown,5/26/2016 20:42,12.96,3.74998E+12
Mooreview,5/31/2016 13:20,24.82,9.88145E+12
Zimmermanmouth,8/1/2016 20:38,34.95,2.25816E+12
Port Johnstad,8/21/2016 8:03,15.92,4.30893E+12
Port Josephfurt,9/20/2016 19:27,14,2.46524E+12
East Douglas,7/19/2016 7:42,11.24,8.56623E+12
East Douglas,9/20/2016 2:40,23.26,8.25335E+11
Torresshire,5/24/2016 15:47,29.25,9.78195E+12
West Brandy,10/4/2016 21:18,20.62,1.0646E+12
New Christine,1/26/2016 13:18,23.52,1.41548E+12
New Andreamouth,11/18/2016 15:01,17.64,8.66984E+12
Lisatown,10/14/2016 9:22,33.4,9.89479E+12
Port Johnstad,8/27/2016 18:09,22.48,9.41097E+12
Wiseborough,9/12/2016 0:38,20.62,8.63493E+12
South Bryanstad,8/12/2016 12:15,21.78,7.00644E+12
New Maryport,2/26/2016 22:31,19.52,3.92576E+11
West Jefferyfurt,2/18/2016 4:54,7.71,5.37523E+12
New David,7/8/2016 23:48,31.51,4.50483E+12
Nguyenbury,11/8/2016 19:22,19.49,1.7028E+12
Swansonbury,11/26/2016 12:07,43.98,4.62263E+12
Prattfurt,5/13/2016 22:09,11.3,5.49028E+12
New Aaron,10/4/2016 21:47,42.87,3.21271E+12
Davistown,6/7/2016 18:54,22.35,7.31247E+12
Stewartview,6/30/2016 23:03,15.58,2.44918E+12
West Jefferyfurt,6/15/2016 22:30,20.25,2.46232E+12
Vickimouth,6/17/2016 4:23,40.88,2.61611E+12
South Louis,9/8/2016 2:07,38.81,9.67772E+12
New David,9/11/2016 5:05,10.05,1.69099E+12
West Dawnfurt,3/6/2016 18:21,28.26,3.89905E+12
Davistown,1/14/2016 6:15,7.61,9.21006E+12
Port Josephfurt,7/1/2016 23:19,5.6,3.23493E+12
Alvarezhaven,4/18/2016 20:51,31.93,4.26702E+12
West Peter,2/4/2016 5:21,32.23,5.46491E+12
New Andreamouth,8/22/2016 6:59,43.14,5.02735E+12
Wiseborough,10/29/2016 19:14,13.85,8.84122E+12
East Douglas,4/2/2016 13:49,28.17,3.8006E+12
Kelseyland,4/17/2016 6:59,5.54,7.46647E+12
Smithhaven,4/26/2016 16:06,30.35,8.27777E+12
West Jefferyfurt,6/8/2016 6:50,22.13,8.73737E+12
Alvarezhaven,8/1/2016 0:39,6.42,8.39454E+12
West Peter,1/11/2016 14:29,10.13,60400779470
Sarabury,9/30/2016 12:48,30.3,6.38874E+12
Yolandafurt,7/3/2016 17:13,32.91,1.04587E+12
Lake Jennaton,6/12/2016 21:55,15.68,6.36039E+12
Lake Jeffreyland,12/4/2016 12:34,17.25,3.97216E+12
Spencertown,8/11/2016 12:33,12.76,4.52575E+11
Nguyenbury,3/19/2016 13:08,35.07,9.1984E+12
Alyssaberg,4/29/2016 20:53,19.77,44295036528
Yolandafurt,6/1/2016 1:49,31.05,3.08132E+11
Davidtown,8/7/2016 11:22,35.99,8.75929E+12
Davistown,4/26/2016 3:20,17.22,7.89359E+12
Fosterside,4/1/2016 4:46,13.17,2.91214E+12
West Peter,1/25/2016 13:57,27.53,5.40022E+12
West Brittanyton,6/7/2016 7:40,16.54,9.65628E+12
Port Martinberg,6/12/2016 10:31,38.4,2.1858E+12
Travisville,3/1/2016 19:20,33.99,3.32947E+12
West Sydneyhaven,10/16/2016 9:38,5.07,3.08695E+12
West Oscar,11/26/2016 13:24,44.48,8.25663E+12
Sandymouth,10/3/2016 5:05,20.3,9.26761E+12
Spencertown,6/14/2016 16:52,8.58,8.12414E+12
Carrollfort,1/2/2016 18:46,40.84,3.71412E+12
Pamelahaven,7/12/2016 2:19,44.39,8.86149E+12
South Louis,7/26/2016 16:34,33.19,6.56841E+12
West Peter,6/7/2016 2:32,27.05,1.00705E+12
Lisaville,2/5/2016 2:25,37.01,4.01074E+12
New Aaron,10/18/2016 23:07,27.41,4.27335E+12
Travisville,10/16/2016 19:55,25.52,2.61553E+12
Lake Jeffreyland,8/29/2016 5:21,7.69,7.92089E+12
Stewartview,5/29/2016 22:39,39.36,4.9129E+12
Alvarezhaven,9/1/2016 22:57,18.09,1.19733E+12
Prattfurt,2/3/2016 14:17,13.15,3.24901E+12
Arnoldview,3/29/2016 20:04,32.63,8.17204E+12
East Erin,10/4/2016 10:31,32.35,3.96388E+12
Rodriguezburgh,10/7/2016 11:09,25.19,7.70988E+12
Sarabury,8/4/2016 0:25,27.2,2.42937E+12
Alyssaberg,1/17/2016 7:11,21.03,3.13802E+12
Arnoldview,2/14/2016 2:12,34.2,5.94927E+12
Kelseyland,5/4/2016 15:06,30.54,2.1405E+12
West Oscar,7/20/2016 23:09,13.62,3.41805E+12
Rodriguezburgh,6/11/2016 21:01,27.66,6.95946E+12
Lake Jeffreyland,4/10/2016 15:48,38.54,7.58959E+12
Lake Jennaton,5/21/2016 13:23,35.1,2.65184E+12
Jacobfort,3/13/2016 23:58,13.72,3.11425E+12
Swansonbury,10/20/2016 8:38,9.85,9.56191E+11
Fosterside,1/19/2016 1:06,10.11,7.22669E+12
Kelseyland,1/25/2016 20:44,12.08,1.89699E+12
Stewartview,10/27/2016 13:17,37.12,3.86925E+12
Russellport,8/5/2016 5:51,43.57,1.40584E+12
Williamshire,1/30/2016 7:31,34.93,6.84887E+12
Pearsonberg,2/8/2016 3:40,23.2,2.16847E+12
West Dawnfurt,9/18/2016 18:24,19.67,2.85166E+12
Pearsonberg,9/16/2016 3:21,40.56,2.94292E+12
Travisville,8/5/2016 8:01,17.8,6.63623E+12
Spencertown,10/1/2016 19:56,11.43,6.5931E+12
Edwardsbury,8/25/2016 21:23,15.4,4.3822E+12
New David,3/29/2016 9:41,24.47,8.59413E+12
Spencertown,5/10/2016 4:55,5.13,3.22013E+12
West Sydneyhaven,8/6/2016 19:00,16.35,2.84351E+12
Eriktown,1/18/2016 17:58,23.56,7.95069E+12
West Brandy,6/16/2016 10:11,13.25,1.34841E+12
East Erin,10/6/2016 18:54,36.97,9.19904E+12
New Andreamouth,8/23/2016 23:45,23.05,4.34006E+12
Carrollfort,3/7/2016 22:54,16.4,2.23499E+12
Jacobfort,7/19/2016 12:38,43.64,9.41493E+12
Lake Jeffreyland,5/29/2016 13:39,16,9.14702E+12
West Dawnfurt,1/3/2016 11:35,6.69,7.45521E+12
Alyssaberg,5/9/2016 1:35,17.56,2.79671E+12
Eriktown,2/27/2016 23:17,20.3,1.54183E+11
West Jefferyfurt,11/22/2016 21:50,11.74,3.33806E+12
South Louis,4/20/2016 15:42,27.26,7.92497E+12
East Douglas,10/19/2016 20:25,28.18,6.20441E+12
West Brittanyton,5/22/2016 5:49,25.1,9.59859E+12
Smithhaven,3/27/2016 9:25,21.18,1.05529E+11
Port Josephfurt,10/26/2016 9:01,9.48,8.35994E+12
Edwardsbury,7/15/2016 15:36,12.65,3.06537E+12
Prattfurt,7/14/2016 14:58,7.22,3.4288E+12
Port Johnstad,5/26/2016 5:12,40.24,2.89597E+12
South Bryanstad,7/27/2016 16:58,38.3,2.575E+11
Arnoldview,7/12/2016 4:33,30.88,5.64769E+11
New Andreamouth,1/2/2016 2:30,18.51,4.48412E+12
Arnoldview,1/12/2016 1:10,35.07,9.0292E+12
West Dawnfurt,9/25/2016 16:35,22.28,9.24278E+12
Prattfurt,7/5/2016 13:53,35.82,5.59492E+12
Smithhaven,9/26/2016 10:18,33.45,8.53934E+12
Lisaville,3/12/2016 13:26,10.61,6.54435E+12
Eriktown,3/8/2016 5:38,16.34,4.82434E+12
New Andreamouth,11/28/2016 1:14,33.11,2.31867E+11
West Alexis,9/3/2016 2:23,22.86,8.39353E+12
Maryside,7/20/2016 1:03,14.07,9.87386E+11
West Alexis,6/28/2016 16:34,12.92,5.99237E+12
Sarabury,7/25/2016 10:44,17.73,4.4673E+12
Vickimouth,5/5/2016 21:32,4.54,2.44325E+12
Alyssaberg,2/7/2016 5:19,23.44,2.98358E+12
Smithhaven,3/31/2016 1:06,32.58,7.97381E+12
New Christine,2/22/2016 12:18,25.21,9.93206E+12
West Oscar,9/22/2016 23:20,23.34,9.2188E+12
Alyssaberg,7/20/2016 22:47,8.73,2.79662E+12
Davistown,4/10/2016 11:11,4.36,74296958741
Prattfurt,11/18/2016 17:37,5.1,9.08418E+12
New Jeffrey,3/20/2016 0:51,38.49,1.5772E+12
New David,10/20/2016 18:30,5.48,5.20179E+12
South Bryanstad,5/16/2016 15:36,9.15,5.12546E+12
South Roy,4/14/2016 3:24,9.77,6.64212E+11
Jacobfort,7/20/2016 15:44,21.57,8.21093E+12
Stewartview,1/30/2016 4:01,6.28,1.19068E+12
New Jeffrey,5/17/2016 8:07,21.4,6.44161E+11
Davidtown,10/13/2016 23:41,10.56,2.83368E+12
Arnoldview,11/18/2016 12:47,4.92,8.53474E+12
Swansonbury,10/14/2016 12:46,30.17,8.69342E+12
New David,9/11/2016 15:12,22.16,2.62595E+12
Port Samantha,3/3/2016 8:04,11.95,9.67576E+12
Port Johnstad,9/29/2016 11:48,35.67,9.84904E+12
Nguyenbury,5/12/2016 15:57,41.63,2.24684E+11
Sarabury,6/22/2016 16:24,23.94,6.1534E+12
Torresshire,11/27/2016 18:13,16.04,7.44694E+12
Lake Jeffreyland,2/29/2016 19:08,41.18,5.92689E+11
Stewartview,2/3/2016 7:47,14.78,8.86363E+12
Russellport,9/18/2016 11:54,23.41,3.91585E+12
Smithhaven,4/16/2016 11:09,7.43,5.77173E+12
Lake Sarashire,8/25/2016 4:25,4.27,6.73916E+12
Wiseborough,2/23/2016 2:21,4.06,5.77241E+12
Lake Sarashire,7/28/2016 11:27,40.77,4.89025E+11
New Jeffrey,7/1/2016 22:39,34.02,3.64393E+12
Lisaville,3/14/2016 19:58,36.95,6.36912E+12
Alvarezhaven,8/18/2016 7:12,20.74,3.57421E+11
Carrollfort,10/9/2016 8:58,4.56,9.53778E+11
Carrollfort,8/24/2016 5:23,44.26,2.31182E+12
Kelseyland,8/9/2016 18:19,17.91,8.78421E+12
Swansonbury,4/3/2016 23:58,36.5,3.84816E+12
New Maryport,3/16/2016 5:00,38.55,1.51894E+12
Port Johnstad,10/14/2016 10:57,19.6,2.81246E+12
Zimmermanmouth,9/19/2016 2:40,16.21,4.96655E+12
East Douglas,9/19/2016 9:23,34.17,8.61277E+12
Kelseyland,10/24/2016 15:15,33.56,4.79797E+12
Travisville,3/29/2016 11:14,12.26,2.80618E+12
Mooreview,8/28/2016 8:58,16.54,4.55952E+12
Alyssaberg,11/25/2016 17:30,25.27,2.03759E+12
Williamshire,10/1/2016 15:14,10.67,9.93435E+12
East Erin,2/15/2016 16:23,40.94,8.04125E+12
Sarabury,1/27/2016 17:46,16.39,8.22081E+12
Williamshire,1/12/2016 4:22,35.94,7.0835E+12
Antoniomouth,3/5/2016 2:55,19.91,6.44874E+11
West Sydneyhaven,4/8/2016 1:17,20.06,4.8561E+12
Sandymouth,3/7/2016 23:43,5.72,7.96231E+12
Torresshire,11/16/2016 9:35,17.84,9.44112E+12
Kelseyland,6/6/2016 13:54,20.81,9.81148E+12
Stewartview,2/11/2016 13:11,35.86,7.76801E+12
Pamelahaven,9/29/2016 11:08,12.82,2.54917E+12
West Brandy,2/3/2016 20:21,35.59,6.77933E+12
West Jefferyfurt,2/9/2016 5:04,22.54,8.62556E+11
East Erin,6/3/2016 19:16,7.84,7.26159E+12
Spencertown,5/24/2016 21:33,31.76,8.57899E+12
Alyssaberg,9/9/2016 14:29,25.85,1.03914E+12
Lake Jeffreyland,5/24/2016 7:38,10.99,9.23938E+12
South Roy,7/6/2016 7:37,21.04,9.00026E+11
East Erin,7/1/2016 20:56,19.79,6.31019E+12
Lisatown,11/29/2016 5:03,25.37,8.78627E+12
East Douglas,2/10/2016 3:30,33.08,3.35726E+12
Jacobfort,5/27/2016 12:40,38.52,3.06319E+12
South Bryanstad,11/30/2016 8:27,19.24,9.2772E+12
Mooreview,11/29/2016 5:43,32.91,2.68625E+12
Lake Stevenbury,1/11/2016 19:57,41.05,5.28052E+12
Vickimouth,12/2/2016 5:12,36.72,2.8843E+12
East Douglas,8/21/2016 22:32,7.9,4.78876E+12
South Louis,8/5/2016 11:29,28.07,1.49481E+12
Torresshire,6/5/2016 15:15,29.85,1.53567E+12
Spencertown,2/12/2016 21:25,30.82,8.22661E+12
West Dawnfurt,5/21/2016 23:19,14.49,6.40707E+12
Rodriguezburgh,4/24/2016 3:23,18.91,9.05817E+12
New Jeffrey,9/28/2016 6:19,18.42,2.25756E+12
Kellershire,11/8/2016 4:54,6.21,9.85808E+12
Spencertown,2/7/2016 12:18,44.67,6.13565E+12
West Oscar,5/27/2016 0:31,11.18,2.38136E+12
West Oscar,1/18/2016 23:15,23.67,9.04174E+12
Kellershire,11/9/2016 16:14,11.52,6.53833E+12
Jacobfort,11/15/2016 14:39,10.12,2.6245E+12
Arnoldview,6/30/2016 21:18,36.65,1.72714E+12
West Alexis,3/1/2016 5:36,25.93,9.84265E+11
South Josephville,10/6/2016 3:53,28.19,2.60413E+12
New Christine,5/29/2016 15:42,14.9,3.59355E+12
South Louis,9/11/2016 16:28,22.08,7.45418E+12
Williamshire,7/5/2016 10:54,28.32,5.67809E+12
East Douglas,11/14/2016 13:10,22.83,4.91669E+12
Yolandafurt,2/28/2016 11:02,36,6.31398E+12
Lake Sarashire,3/17/2016 11:47,16.67,1.79062E+12
Torresshire,10/2/2016 1:20,5.45,7.85608E+12
New Maryport,2/7/2016 16:58,21.94,1.13418E+12
West Oscar,8/19/2016 15:24,26.3,1.57402E+12
Kimberlychester,8/17/2016 13:49,39.29,7.66001E+12
Williamshire,1/19/2016 13:24,28.73,3.63135E+12
Kimberlychester,1/13/2016 1:17,41.06,3.47056E+12
Prattfurt,1/22/2016 8:38,12.49,8.74658E+12
Zimmermanmouth,7/23/2016 19:20,28.89,1.52936E+12
Zimmermanmouth,5/4/2016 18:32,20.96,6.4905E+12
Lake Jeffreyland,8/3/2016 19:10,37.24,7.16881E+12
New Andreamouth,1/10/2016 16:33,41.15,8.7271E+12
Lake Jennaton,12/2/2016 20:30,7.37,4.33007E+12
Antoniomouth,8/27/2016 6:53,33.31,6.66382E+12
New David,10/15/2016 12:01,25.55,5.57293E+12
Antoniomouth,8/19/2016 14:45,20.67,5.23005E+12
Smithhaven,6/23/2016 8:23,15.18,8.19792E+12
Edwardsbury,8/3/2016 22:39,19.85,3.68405E+12
Jacobfort,8/8/2016 12:21,16.87,2.83936E+12
Williamshire,10/12/2016 20:05,43.59,5.75448E+12
Torresshire,1/21/2016 6:22,13.88,3.84867E+12
Maryside,1/22/2016 17:16,17,3.25292E+12
West Oscar,8/16/2016 3:32,9.08,3.86978E+12
South Josephville,3/11/2016 23:05,29.12,7.47716E+12
Lake Stevenbury,5/1/2016 21:55,15.75,7.02568E+12
Jacobfort,7/19/2016 22:19,20.36,3.06722E+12
Port Samantha,10/5/2016 2:16,6.99,3.73416E+12
South Louis,10/11/2016 0:43,4.54,3.59084E+12
Port Samantha,3/7/2016 7:34,39.5,3.54987E+12
South Josephville,3/24/2016 18:38,13.73,1.48844E+12
Alvarezhaven,4/4/2016 23:45,14.25,6.43143E+12
West Peter,4/12/2016 16:00,7.51,7.11015E+12
Kimberlychester,10/22/2016 2:54,19.07,6.69675E+12
Lake Jeffreyland,5/15/2016 14:22,17.85,8.49723E+12
West Brittanyton,1/16/2016 22:15,37.64,8.41218E+12
West Oscar,5/27/2016 18:18,11.4,5.32306E+12
Lisatown,7/10/2016 3:14,40.36,1.79716E+12
South Josephville,8/28/2016 4:52,38.51,4.25006E+12
Kelseyland,8/10/2016 7:02,44.53,1.56317E+12
Arnoldview,9/18/2016 10:09,37.37,2.40325E+12
Stewartview,1/1/2016 9:25,6.83,7.8909E+12
Sarabury,4/26/2016 11:31,21.8,5.96944E+12
Spencertown,3/28/2016 6:14,42.67,1.23539E+12
Yolandafurt,11/20/2016 11:01,24.95,3.73656E+12
Eriktown,6/24/2016 6:41,40.41,24231019266
Torresshire,9/20/2016 12:58,8.31,3.85497E+12
South Roy,1/29/2016 17:29,18.61,5.08408E+12
Rodriguezburgh,2/28/2016 23:49,9.86,1.78213E+12
Aprilchester,2/20/2016 19:30,27.84,3.7028E+12
Alvarezhaven,10/31/2016 5:33,20.23,4.3489E+12
Pamelahaven,9/21/2016 3:18,13.95,8.12339E+12
Fosterside,11/7/2016 0:00,17.92,7.42339E+12
East Douglas,9/29/2016 14:23,21.49,9.99138E+12
Mooreview,8/29/2016 3:50,16.43,2.39494E+12
Carrollfort,1/24/2016 13:10,7.15,4.13826E+12
South Louis,10/29/2016 18:46,30.73,3.06878E+12
New Jeffrey,6/6/2016 14:29,34.35,7.22026E+11
Swansonbury,10/20/2016 2:30,11.29,5.29742E+12
Mooreview,5/6/2016 2:19,38.1,9.85367E+12
Lake Jennaton,10/17/2016 9:44,16.98,8.33657E+12
Davidtown,7/3/2016 17:33,17.6,9.77577E+12
East Erin,8/7/2016 6:28,12.56,3.37615E+12
Rodriguezburgh,5/30/2016 18:12,14.51,8.43293E+12
Mooreview,6/19/2016 7:05,39.02,4.55937E+12
Spencertown,7/23/2016 0:02,7.74,8.39047E+12
Williamshire,4/21/2016 20:53,12.62,8.43363E+12
New Aaron,8/12/2016 22:11,12.53,7.86227E+12
Vickimouth,4/27/2016 9:28,31.47,1.72282E+11
Arnoldview,5/17/2016 16:41,17.7,5.25631E+12
Kimberlychester,3/19/2016 22:17,10.33,3.84221E+12
Lisatown,11/13/2016 9:11,16.36,5.29611E+12
South Roy,6/3/2016 17:48,43.5,5.31644E+12
Davistown,2/9/2016 6:40,29.58,6.52193E+12
Torresshire,6/7/2016 11:48,23.86,3.00227E+12
Antoniomouth,5/2/2016 17:52,8.43,4.17792E+12
Lisatown,1/7/2016 9:55,18.64,5.46181E+12
Lisatown,5/19/2016 12:41,20.22,4.06667E+12
Port Johnstad,11/6/2016 21:03,10.58,8.04228E+12
Davidtown,10/18/2016 12:27,14.48,8.26782E+12
Travisville,10/28/2016 9:02,35.69,6.80131E+12
Sandymouth,4/10/2016 14:31,5.42,4.36222E+12
Swansonbury,9/24/2016 8:14,13.77,3.91283E+12
West Brandy,6/22/2016 20:17,26.96,9.89468E+12
West Brandy,10/19/2016 14:01,27.77,9.2001E+12
Alyssaberg,5/27/2016 5:36,21.59,6.75285E+12
West Oscar,6/28/2016 2:11,25.68,6.16093E+11
Edwardsbury,6/8/2016 9:17,39.28,4.31558E+12
Swansonbury,3/12/2016 15:20,38.41,2.21346E+12
Alyssaberg,7/7/2016 1:18,7.18,6.22282E+11
Kelseyland,7/5/2016 17:37,29.02,6.89799E+12
Smithhaven,5/16/2016 10:13,5.39,9.84519E+12
Arnoldview,4/8/2016 4:59,6.7,2.43463E+12
Jacobfort,10/20/2016 15:51,21.31,1.16694E+11
Lisatown,4/16/2016 11:51,44.98,4.10482E+11
New Christine,6/30/2016 4:33,17.33,7.25597E+11
Sandymouth,8/21/2016 1:56,35.97,1.97603E+12
Sandymouth,6/27/2016 13:58,38.59,1.2707E+12
Sandymouth,7/1/2016 0:43,37.75,8.23811E+12
South Roy,8/23/2016 8:57,6.73,1.82675E+11
Zimmermanmouth,2/11/2016 19:07,14.5,7.54739E+12
Swansonbury,7/25/2016 14:20,29.38,6.19571E+12
Arnoldview,3/23/2016 6:59,21.61,5.90313E+11
Kimberlychester,7/21/2016 14:54,23.55,9.27959E+12
South Bryanstad,10/18/2016 9:58,22.27,7.39314E+12
Edwardsbury,7/5/2016 10:59,42.67,6.06897E+12
East Erin,9/25/2016 7:45,27.75,9.26182E+12
Davistown,1/26/2016 20:57,18.24,4.20989E+12
Lisaville,7/1/2016 3:28,29.41,6.42855E+12
Sandymouth,5/3/2016 0:51,30.58,5.31442E+12
Lake Jennaton,4/17/2016 2:48,30.98,4.13445E+12
Smithhaven,9/22/2016 0:49,22.51,1.16106E+12
West Brandy,6/2/2016 16:31,6.82,6.18712E+12
Carrollfort,4/10/2016 7:24,18.01,2.93604E+12
South Louis,2/25/2016 14:35,39.4,8.08547E+12
Maryside,9/13/2016 14:45,37.61,1.47788E+12
Davistown,7/23/2016 22:14,24.76,6.21989E+12
Kimberlychester,10/24/2016 16:48,4.49,3.69162E+12
Stewartview,2/28/2016 4:05,13.46,4.41829E+12
West Brittanyton,5/6/2016 20:52,30.02,3.46466E+11
Lake Stevenbury,1/5/2016 10:15,8.47,1.24507E+12
New David,2/28/2016 1:45,31.83,9.63641E+12
Williamshire,2/14/2016 9:59,12.44,5.62226E+12
West Brittanyton,11/10/2016 7:06,4.13,8.15204E+12
Zimmermanmouth,5/25/2016 14:46,41.96,5.2026E+12
Antoniomouth,10/22/2016 1:49,6.05,1.70057E+12
Travisville,6/17/2016 9:02,19.79,6.01669E+11
West Dawnfurt,10/18/2016 2:10,43.77,1.00622E+12
Kelseyland,4/25/2016 2:18,20.05,1.14837E+12
Russellport,7/11/2016 8:01,37.34,9.62546E+12
Sandymouth,11/24/2016 10:24,41.22,2.82435E+12
West Jefferyfurt,1/24/2016 2:50,33.17,7.5095E+12
West Brandy,7/5/2016 4:36,13.56,7.14604E+12
Prattfurt,1/21/2016 22:17,35.32,2.84556E+12
Lisaville,3/15/2016 2:55,18.78,7.90797E+12
West Dawnfurt,10/15/2016 6:23,8.69,3.8174E+12
Aprilchester,10/4/2016 14:22,19.92,6.78722E+12
Jacobfort,9/18/2016 4:50,9.6,7.25066E+12
Prattfurt,2/1/2016 18:49,34.91,1.84587E+12
West Peter,7/12/2016 3:26,19.03,6.59865E+12
East Erin,1/16/2016 18:15,11.35,1.24955E+12
Travisville,5/28/2016 0:34,36.69,8.95087E+11
Jacobfort,10/9/2016 19:57,31.35,8.00617E+12
Lake Sarashire,4/26/2016 18:05,9.02,7.6903E+12
Nguyenbury,4/7/2016 6:59,19.01,4.64848E+12
Kellershire,6/25/2016 6:44,26.28,9.32017E+12
Lake Stevenbury,3/5/2016 14:09,27.68,7.15826E+11
Lake Sarashire,7/9/2016 5:23,21.92,1.0086E+12
West Jefferyfurt,9/8/2016 5:29,20.41,7.40733E+11
Wiseborough,7/1/2016 3:59,8.28,1.12693E+12
Spencertown,3/4/2016 7:28,44.15,2.92879E+12
Carrollfort,11/29/2016 19:04,23.59,9.66186E+12
Jacobfort,11/18/2016 16:19,37.31,6.74328E+12
Wiseborough,11/26/2016 17:24,7.42,6.76864E+12
Jacobfort,11/10/2016 5:11,22.1,3.63754E+12
New Andreamouth,11/5/2016 2:09,41.26,6.72839E+12
Alyssaberg,10/28/2016 0:13,40.47,7.11465E+12
Williamshire,11/15/2016 2:03,26.79,6.86164E+12
